County,State,Population,Per Capita Income,Poverty Count,Poverty Rate
Boone County,Indiana,65544,48295,3848,5.870865372879288
Brown County,Indiana,15064,34372,1343,8.91529474243229
Carroll County,Indiana,20074,29366,1912,9.524758393942413
Cass County,Indiana,37880,24948,5353,14.131467793030621
Clark County,Indiana,116507,29062,11544,9.90841751997734
Clay County,Indiana,26234,26257,3217,12.262712510482581
Clinton County,Indiana,32273,24489,3916,12.13398196634958
Crawford County,Indiana,10569,22443,1858,17.579714258681047
Daviess County,Indiana,33120,23848,3888,11.73913043478261
Dearborn County,Indiana,49479,30800,4446,8.985630267386163
Decatur County,Indiana,26562,27006,2981,11.222799487990361
DeKalb County,Indiana,42927,29073,4821,11.230693968830806
Delaware County,Indiana,115020,25107,23562,20.485133020344286
Dubois County,Indiana,42543,30366,3767,8.854570669675388
Elkhart County,Indiana,204558,26150,24885,12.165253864429648
Fayette County,Indiana,23194,24015,4336,18.694489954298525
Floyd County,Indiana,77320,33478,7432,9.612002069322296
Fountain County,Indiana,16430,28058,1802,10.967741935483872
Franklin County,Indiana,22774,29166,2055,9.023447791341004
Fulton County,Indiana,20096,26427,2442,12.151671974522294
Gibson County,Indiana,33656,28076,3051,9.065248395531258
Grant County,Indiana,66452,23046,10953,16.4825738879191
Greene County,Indiana,32159,25453,4527,14.076930252806369
Hamilton County,Indiana,323117,49287,14700,4.549435653339192
Hancock County,Indiana,75164,34119,4941,6.57362567186419
Harrison County,Indiana,39940,28119,4326,10.831246870305458
Hendricks County,Indiana,163799,36569,8021,4.896855292156851
Henry County,Indiana,48255,24687,6748,13.98404310434152
Howard County,Indiana,82331,28129,12046,14.631183879705093
Huntington County,Indiana,36359,26502,3809,10.476085700926868
Jackson County,Indiana,44025,25840,6268,14.237365133446906
Jasper County,Indiana,33447,28240,2648,7.917003019702813
Jay County,Indiana,20840,23443,2887,13.8531669865643
Jefferson County,Indiana,32201,27152,4001,12.425079966460668
Jennings County,Indiana,27710,26017,2987,10.779501984843016
Johnson County,Indiana,153716,34408,11196,7.283561893361784
Knox County,Indiana,37065,26041,5381,14.517739106974235
Kosciusko County,Indiana,79035,29786,7584,9.595748718921996
LaGrange County,Indiana,39193,24549,2489,6.350623835889062
Lake County,Indiana,485707,28923,74629,15.365024593015955
LaPorte County,Indiana,110154,27264,15490,14.062131198140785
