County,State,Population,Per Capita Income,Poverty Count,Poverty Rate
White County,Indiana,24149,27461,2198,9.101826162574019
Whitley County,Indiana,33730,31843,3213,9.525644826563889
Adair County,Iowa,7085,30822,754,10.642201834862385
Adams County,Iowa,3670,28440,508,13.841961852861035
Allamakee County,Iowa,13813,27892,1478,10.700065156012451
Appanoose County,Iowa,12452,26012,2170,17.42691937038227
Audubon County,Iowa,5571,30344,632,11.34446239454317
Benton County,Iowa,25636,33301,2216,8.644094242471525
Black Hawk County,Iowa,132393,30563,20129,15.20397604102936
Boone County,Iowa,26370,32889,1973,7.481987106560485
Bremer County,Iowa,24864,32814,1725,6.937741312741312
Buchanan County,Iowa,21118,33373,1812,8.580357988445876
Buena Vista County,Iowa,20058,26526,2462,12.274404227739556
Butler County,Iowa,14628,30036,1479,10.110746513535684
Calhoun County,Iowa,9744,28434,1133,11.627668308702791
Carroll County,Iowa,20281,31648,1707,8.416744736452838
Cass County,Iowa,13091,28302,1776,13.566572454357956
Cedar County,Iowa,18457,32268,1256,6.805006230698379
Cerro Gordo County,Iowa,42834,32757,4252,9.92669374795723
Cherokee County,Iowa,11343,32999,1201,10.588027858591202
Chickasaw County,Iowa,12026,31095,793,6.5940462331614835
Clarke County,Iowa,9360,27416,1177,12.574786324786324
Clay County,Iowa,16211,28747,1723,10.628585528344951
Clayton County,Iowa,17625,28294,1993,11.307801418439716
Clinton County,Iowa,46909,28483,5988,12.76514101771515
Crawford County,Iowa,17034,29196,2978,17.482681695432664
Dallas County,Iowa,87099,45090,4521,5.190645127957841
Davis County,Iowa,8920,29387,868,9.730941704035875
Decatur County,Iowa,7979,22875,1331,16.681288382002755
Delaware County,Iowa,17183,32112,1559,9.072920910201944
Des Moines County,Iowa,39386,29941,6214,15.777179708525871
Dickinson County,Iowa,17127,39052,1392,8.12751795410755
Dubuque County,Iowa,96982,32905,10646,10.977294755727867
Emmet County,Iowa,9438,28651,1055,11.178215723670268
Fayette County,Iowa,19803,28643,2173,10.973084886128365
Floyd County,Iowa,15786,29622,2258,14.303813505637908
Franklin County,Iowa,10162,29546,1362,13.402873450108247
Fremont County,Iowa,6946,29261,714,10.279297437374028
Greene County,Iowa,8950,28451,731,8.167597765363128
Grundy County,Iowa,12299,36231,677,5.50451256199691
Guthrie County,Iowa,10669,31128,914,8.566875995875902
Hamilton County,Iowa,14997,30127,1452,9.681936387277455
Hancock County,Iowa,10802,30309,1063,9.840770227735604
Hardin County,Iowa,17061,28770,1564,9.1671062657523
Harrison County,Iowa,14089,32443,1351,9.58904109589041
Henry County,Iowa,19941,26408,1972,9.88917306052856
Howard County,Iowa,9226,29032,810,8.779536093648385
Humboldt County,Iowa,9554,30480,1225,12.821854720535903
Ida County,Iowa,6901,33789,648,9.389943486451239
Iowa County,Iowa,16189,33755,1388,8.573722898264254
Jackson County,Iowa,19401,29660,2500,12.885933714756973
Jasper County,Iowa,36971,28604,3186,8.617565118606475
Jefferson County,Iowa,18148,28611,2087,11.499889795018735
Johnson County,Iowa,148577,35108,25469,17.14195333059626
Jones County,Iowa,20559,29453,1755,8.536407412811906
Keokuk County,Iowa,10188,29957,995,9.766391833529644
Kossuth County,Iowa,14978,31225,1602,10.695687007611163
Lee County,Iowa,34227,26710,4658,13.609138983843163
Linn County,Iowa,223861,34545,22272,9.949030871835648
Louisa County,Iowa,11178,29021,1120,10.01968151726606
Lucas County,Iowa,8583,31069,991,11.54607945939648
Lyon County,Iowa,11776,29124,538,4.568614130434782
Madison County,Iowa,16012,35470,795,4.965026230327255
Mahaska County,Iowa,22164,28174,2949,13.30536004331348
Marion County,Iowa,33172,30644,2466,7.433980465452791
Marshall County,Iowa,39964,27196,4651,11.637974176759084
Mills County,Iowa,15034,34850,1234,8.208061726752694
Mitchell County,Iowa,10608,29676,710,6.693061840120664
Monona County,Iowa,8730,29591,1242,14.22680412371134
Monroe County,Iowa,7807,28999,809,10.36249519661842
Montgomery County,Iowa,10053,29781,1180,11.737789714513081
Muscatine County,Iowa,42889,29511,4054,9.45230711837534
O'Brien County,Iowa,13835,30564,1440,10.408384531984098
Osceola County,Iowa,6052,30955,745,12.30998017184402
Page County,Iowa,15268,27390,1619,10.603877390620907
Palo Alto County,Iowa,9003,28445,554,6.1535043874264135
Plymouth County,Iowa,25068,33982,2243,8.947662358385191
Pocahontas County,Iowa,6797,30013,713,10.489922024422539
Polk County,Iowa,479612,35433,48969,10.210128186951119
Pottawattamie County,Iowa,93393,30318,9765,10.455815746362147
Poweshiek County,Iowa,18388,31827,1654,8.994996737002394
Ringgold County,Iowa,4964,28756,413,8.319903303787267
Sac County,Iowa,9802,32274,947,9.661293613548255
Scott County,Iowa,172446,33643,20389,11.823411386752955
Shelby County,Iowa,11606,32703,908,7.823539548509392
Sioux County,Iowa,34827,29360,2047,5.877623682774859
Story County,Iowa,96941,29539,18022,18.59068918207982
Tama County,Iowa,17032,28585,1975,11.595819633630812
Taylor County,Iowa,6167,29778,606,9.826495865088374
Union County,Iowa,12358,27750,1720,13.918109726492961
Van Buren County,Iowa,7150,27252,906,12.671328671328672
Wapello County,Iowa,35141,26424,5132,14.604023789875075
Warren County,Iowa,50076,36496,3933,7.854061826024443
Washington County,Iowa,22100,30547,2140,9.683257918552037
Wayne County,Iowa,6429,25628,1086,16.892207186187587
Webster County,Iowa,36545,26498,4629,12.666575454918593
Winnebago County,Iowa,10534,28342,884,8.391873932029618
Winneshiek County,Iowa,20262,32075,1480,7.304313493238575
Woodbury County,Iowa,102586,28688,12649,12.33014251457314
Worth County,Iowa,7445,31949,627,8.42175957018133
Wright County,Iowa,12739,29622,1461,11.468718109741738
Allen County,Kansas,12556,23734,2138,17.027715833067855
Anderson County,Kansas,7835,24309,1151,14.690491384811743
Atchison County,Kansas,16268,24237,2269,13.947627243668551
Barber County,Kansas,4624,27648,746,16.133217993079583
Barton County,Kansas,26453,27495,3978,15.03799191018032
Bourbon County,Kansas,14608,23102,2271,15.546276013143483
Brown County,Kansas,9626,25208,1257,13.058383544566798
Butler County,Kansas,66698,29986,6025,9.03325437044589
Chase County,Kansas,2637,23055,300,11.376564277588168
Chautauqua County,Kansas,3323,22962,605,18.20643996388805
Cherokee County,Kansas,20179,22615,2604,12.904504683086376
Cheyenne County,Kansas,2665,29041,247,9.268292682926829
Clark County,Kansas,2026,28227,213,10.513326752221126
Clay County,Kansas,8082,29235,642,7.943578322197475
Cloud County,Kansas,8938,27279,965,10.79659879167599
Coffey County,Kansas,8254,33371,1008,12.212260722074147
Comanche County,Kansas,1740,30355,175,10.057471264367816
Cowley County,Kansas,35351,24726,4675,13.224519815563914
Crawford County,Kansas,38968,23091,7513,19.27992198727161
Decatur County,Kansas,2860,30905,433,15.13986013986014
Dickinson County,Kansas,18828,27219,2184,11.59974506054812
Doniphan County,Kansas,7684,25775,926,12.05101509630401
Douglas County,Kansas,120290,32281,20169,16.76697979881952
Edwards County,Kansas,2869,27431,277,9.654932032066922
Elk County,Kansas,2523,23875,449,17.796274276654774
Ellis County,Kansas,28775,30956,4271,14.842745438748914
Ellsworth County,Kansas,6231,26443,493,7.912052640025678
Finney County,Kansas,36750,24152,4459,12.133333333333333
Ford County,Kansas,34179,23293,4858,14.213405892507094
Franklin County,Kansas,25558,26998,2441,9.55082557320604
Geary County,Kansas,34025,23897,4292,12.614254224834681
Gove County,Kansas,2644,28859,259,9.795763993948563
Graham County,Kansas,2519,27236,242,9.606986899563319
Grant County,Kansas,7467,25411,848,11.356635864470336
Gray County,Kansas,6039,29421,338,5.596953137936744
Greeley County,Kansas,1185,28982,86,7.257383966244725
Greenwood County,Kansas,6081,27500,799,13.139286301595131
Hamilton County,Kansas,2591,22003,272,10.497877267464299
Harper County,Kansas,5594,24800,874,15.623882731498034
Harvey County,Kansas,34503,28226,3172,9.193403472161842
Haskell County,Kansas,4018,26814,418,10.403185664509706
Hodgeman County,Kansas,1876,30044,204,10.874200426439232
Jackson County,Kansas,13266,28127,1525,11.49555254032866
Jefferson County,Kansas,18890,30655,1398,7.400741132874537
Jewell County,Kansas,2885,27731,501,17.36568457538995
Johnson County,Kansas,591506,46517,31422,5.312203088387946
Kearny County,Kansas,3907,23415,749,19.170719221909394
Kingman County,Kansas,7340,34578,549,7.479564032697547
Kiowa County,Kansas,2505,26321,155,6.187624750499002
Labette County,Kansas,20119,24572,3619,17.987971569163477
Lane County,Kansas,1564,28435,187,11.956521739130435
Leavenworth County,Kansas,80745,32444,6379,7.900179577682828
Lincoln County,Kansas,3044,25803,271,8.902759526938238
Linn County,Kansas,9671,27926,1565,16.182400992658465
Logan County,Kansas,2805,28135,224,7.985739750445633
Lyon County,Kansas,33251,26904,5356,16.107786231993025
McPherson County,Kansas,28567,31006,2382,8.338292435327475
Marion County,Kansas,11964,26577,971,8.116014710799064
Marshall County,Kansas,9749,28469,854,8.759872807467433
Meade County,Kansas,4180,28945,264,6.315789473684211
Miami County,Kansas,33417,35659,2254,6.7450698746147175
Mitchell County,Kansas,6145,25801,874,14.222945484133442
Montgomery County,Kansas,32521,24647,5911,18.17594784908213
Morris County,Kansas,5566,29558,493,8.857348185411427
Morton County,Kansas,2754,23447,273,9.912854030501089
Nemaha County,Kansas,10121,30344,859,8.4873036261239
Neosho County,Kansas,16108,23845,2926,18.164887012664515
Ness County,Kansas,2876,34243,287,9.97913769123783
Norton County,Kansas,5446,25352,564,10.356224752111642
Osage County,Kansas,15881,27951,2226,14.016749574963793
Osborne County,Kansas,3530,30843,506,14.334277620396602
Ottawa County,Kansas,5822,29230,567,9.7389213328753
Pawnee County,Kansas,6629,25131,353,5.325086740081461
Phillips County,Kansas,5340,27431,511,9.569288389513108
Pottawatomie County,Kansas,23847,29345,1900,7.967459219188997
Pratt County,Kansas,9452,27442,1047,11.077020736352095
Rawlins County,Kansas,2502,28590,268,10.711430855315747
Reno County,Kansas,62765,27073,7701,12.26957699354736
Republic County,Kansas,4658,27424,492,10.56247316444826
Rice County,Kansas,9658,26737,1271,13.16007454959619
Riley County,Kansas,75056,27272,14591,19.44015135365594
Rooks County,Kansas,5053,26420,380,7.520284979220265
Rush County,Kansas,3022,26552,304,10.059563203176705
Russell County,Kansas,6948,26090,761,10.95279217040875
Saline County,Kansas,54701,28813,6132,11.210032723350578
Scott County,Kansas,4917,29315,292,5.938580435224731
Sedgwick County,Kansas,513375,29530,69506,13.539030922814707
Seward County,Kansas,22349,20754,3668,16.4123674437335
Shawnee County,Kansas,177852,30974,19811,11.139036952072509
Sheridan County,Kansas,2506,35465,130,5.18754988028731
Sherman County,Kansas,5938,27919,660,11.11485348602223
Smith County,Kansas,3627,28994,400,11.028398125172318
Stafford County,Kansas,4181,28060,507,12.126285577613011
Stanton County,Kansas,2052,23033,370,18.03118908382066
Stevens County,Kansas,5603,24652,1099,19.61449223630198
Sumner County,Kansas,23114,26954,2667,11.538461538461538
Thomas County,Kansas,7810,30442,883,11.306017925736235
Trego County,Kansas,2840,34230,191,6.725352112676056
Wabaunsee County,Kansas,6889,27876,330,4.790245318623893
Wallace County,Kansas,1574,27966,146,9.275730622617536
Washington County,Kansas,5493,27841,581,10.57709812488622
Wichita County,Kansas,2130,29126,69,3.2394366197183095
Wilson County,Kansas,8688,27471,1196,13.766114180478823
Woodson County,Kansas,3157,22672,604,19.132087424770354
Wyandotte County,Kansas,164861,22335,31261,18.9620346837639
Adair County,Kentucky,19222,21196,3655,19.014670689834563
Allen County,Kentucky,20944,22294,3866,18.458747135217724
Anderson County,Kentucky,22409,27250,3480,15.529474764603506
Ballard County,Kentucky,8032,25217,1213,15.102091633466136
Barren County,Kentucky,43884,21869,10368,23.625922887612795
Bath County,Kentucky,12355,22238,2501,20.242816673411575
Bell County,Kentucky,26791,15501,9218,34.407077003471315
Boone County,Kentucky,130820,35991,9271,7.086836875095551
Bourbon County,Kentucky,20058,27802,3005,14.98155349486489
Boyd County,Kentucky,47682,26193,8622,18.082295205738014
Boyle County,Kentucky,29972,26413,3801,12.681836380621913
Bracken County,Kentucky,8305,24124,1463,17.6158940397351
Breathitt County,Kentucky,12977,19053,4367,33.651845572936736
Breckinridge County,Kentucky,20176,23286,3674,18.20975416336241
Bullitt County,Kentucky,80171,29333,7150,8.918436841251824
Butler County,Kentucky,12764,22951,2407,18.857724851143843
Caldwell County,Kentucky,12702,28799,2112,16.627302786962684
Calloway County,Kentucky,38837,23219,7541,19.417050750572905
Campbell County,Kentucky,92861,34025,12081,13.009767286589636
Carlisle County,Kentucky,4784,30065,796,16.638795986622075
Carroll County,Kentucky,10671,25217,2474,23.184331365382814
Carter County,Kentucky,27159,18778,6674,24.573806104790307
Casey County,Kentucky,15885,18457,3936,24.7780925401322
Christian County,Kentucky,71414,23021,12635,17.69260929229563
Clark County,Kentucky,35971,28802,5205,14.469989713936226
Clay County,Kentucky,20368,15391,6940,34.07305577376277
Clinton County,Kentucky,10193,21019,2423,23.771215540076522
Crittenden County,Kentucky,9000,23959,1258,13.977777777777778
Cumberland County,Kentucky,6697,18728,1406,20.994475138121548
Daviess County,Kentucky,100474,28806,16174,16.097696916615245
Edmonson County,Kentucky,12138,21802,2182,17.97660240566815
Elliott County,Kentucky,7510,13856,1808,24.074567243675098
Estill County,Kentucky,14224,17746,4345,30.546962879640045
Fayette County,Kentucky,320601,34442,51715,16.130642137735066
Fleming County,Kentucky,14513,23593,2877,19.823606421828703
Floyd County,Kentucky,36456,19471,10973,30.09929778362958
Franklin County,Kentucky,50529,30711,6015,11.904055097072968
Fulton County,Kentucky,6130,18247,1604,26.16639477977161
Gallatin County,Kentucky,8737,23638,1258,14.398534966235548
Garrard County,Kentucky,17445,26272,2712,15.546001719690455
Grant County,Kentucky,24951,23721,4012,16.079515851068095
Graves County,Kentucky,37248,24750,7165,19.235932130584192
Grayson County,Kentucky,26247,21231,6585,25.08858155217739
Green County,Kentucky,10979,22506,1953,17.78850532835413
Greenup County,Kentucky,35555,27722,5909,16.619322176909016
Hancock County,Kentucky,8720,24830,1015,11.639908256880734
Hardin County,Kentucky,108527,28606,13938,12.842887023505673
Harlan County,Kentucky,26699,16468,9335,34.9638563242069
Harrison County,Kentucky,18722,24154,3225,17.22572374746288
Hart County,Kentucky,18729,20742,3944,21.05825190880453
Henderson County,Kentucky,45829,26212,8273,18.05188854218944
Henry County,Kentucky,15911,25202,2890,18.163534661554902
Hickman County,Kentucky,4510,28114,647,14.34589800443459
Hopkins County,Kentucky,45331,25042,8534,18.825968983697692
Jackson County,Kentucky,13369,18560,4240,31.71516194180567
Jefferson County,Kentucky,767419,33251,106938,13.934760541503403
Jessamine County,Kentucky,53032,31146,8651,16.312792276361442
Johnson County,Kentucky,22634,21974,5003,22.103914464964213
Kenton County,Kentucky,165668,33330,18716,11.297293381944613
Knott County,Kentucky,15260,18475,4531,29.69200524246396
Knox County,Kentucky,31365,17832,10113,32.24294595887135
Larue County,Kentucky,14204,24803,2013,14.172064207265558
Laurel County,Kentucky,60357,22398,13790,22.847391354772437
Lawrence County,Kentucky,15671,18124,4115,26.25869440367558
Lee County,Kentucky,6881,17386,2236,32.495276849295166
Leslie County,Kentucky,10283,15838,3680,35.7872216279296
Letcher County,Kentucky,22295,20641,7409,33.23166629289078
Lewis County,Kentucky,13417,19860,3219,23.991950510546324
Lincoln County,Kentucky,24476,21480,5086,20.779539140382415
Livingston County,Kentucky,9235,27728,1331,14.412560909583108
Logan County,Kentucky,26902,24221,4507,16.75340123410899
Lyon County,Kentucky,8271,26994,1100,13.299480111232015
McCracken County,Kentucky,65268,32357,10042,15.38579395722253
McCreary County,Kentucky,17465,14505,5330,30.518179215574005
McLean County,Kentucky,9283,25610,1471,15.846170419045565
Madison County,Kentucky,90802,25837,15901,17.51172881654589
Magoffin County,Kentucky,12491,18243,3486,27.90809382755584
Marion County,Kentucky,19244,22241,4236,22.012055705674495
Marshall County,Kentucky,31192,29792,3177,10.1853039240831
Martin County,Kentucky,11648,18017,2064,17.71978021978022
Mason County,Kentucky,17112,28411,2978,17.402992052360915
Meade County,Kentucky,28182,27861,3369,11.954439003619331
Menifee County,Kentucky,6443,20588,1507,23.389725283253142
Mercer County,Kentucky,21592,27061,3032,14.04223786587625
Metcalfe County,Kentucky,10036,19121,2304,22.957353527301713
Monroe County,Kentucky,10627,23481,2493,23.459113578620496
Montgomery County,Kentucky,27884,22381,5006,17.952947927126665
Morgan County,Kentucky,13288,18310,2629,19.784768211920532
Muhlenberg County,Kentucky,30951,22612,4587,14.820199670446835
Nelson County,Kentucky,45650,32735,4147,9.084337349397591
Nicholas County,Kentucky,7153,22212,1965,27.470991192506638
Ohio County,Kentucky,24071,24297,4435,18.424660379710026
Oldham County,Kentucky,65967,42272,3664,5.5542922976639835
Owen County,Kentucky,10796,25640,2021,18.719896257873287
Owsley County,Kentucky,4442,18940,1305,29.378658262044123
Pendleton County,Kentucky,14572,24120,2554,17.5267636563272
Perry County,Kentucky,26624,23135,6712,25.210336538461537
Pike County,Kentucky,59497,22437,14545,24.44661075348337
Powell County,Kentucky,12304,20841,2548,20.708712613784137
Pulaski County,Kentucky,64350,24646,14330,22.268842268842267
Robertson County,Kentucky,2123,22552,522,24.587847385774847
Rockcastle County,Kentucky,16820,20892,3284,19.5243757431629
Rowan County,Kentucky,24507,20488,5991,24.446076631166605
Russell County,Kentucky,17778,20674,4054,22.803464956688043
Scott County,Kentucky,54667,32796,6111,11.178590374448936
Shelby County,Kentucky,47325,32468,5174,10.932910723718965
Simpson County,Kentucky,18183,24458,2770,15.234009789363693
Spencer County,Kentucky,18680,33661,1799,9.630620985010708
Taylor County,Kentucky,25571,23602,4365,17.07011849360604
Todd County,Kentucky,12316,23143,2254,18.301396557323805
Trigg County,Kentucky,14449,28264,1673,11.578655962350336
Trimble County,Kentucky,8558,27237,1460,17.06006076186025
Union County,Kentucky,14638,23097,2905,19.84560732340484
Warren County,Kentucky,128652,28558,20285,15.767341354973105
Washington County,Kentucky,12023,26035,1777,14.780004990435
Wayne County,Kentucky,20546,25707,5073,24.690937408741362
Webster County,Kentucky,13068,22911,2897,22.16865625956535
Whitley County,Kentucky,36131,20547,8037,22.24405635050234
Wolfe County,Kentucky,7207,14923,2058,28.55557097266546
Woodford County,Kentucky,26318,32264,3375,12.823922790485598
Acadia Parish,Louisiana,62457,23122,14822,23.731527290776054
Allen Parish,Louisiana,25618,20964,3056,11.92911234288391
Ascension Parish,Louisiana,123114,34168,12959,10.526016537518073
Assumption Parish,Louisiana,22478,25752,4261,18.956312839220573
Avoyelles Parish,Louisiana,40669,22017,8988,22.100371290171875
Beauregard Parish,Louisiana,37043,26331,5668,15.30113651702076
Bienville Parish,Louisiana,13564,21491,3759,27.713063992922443
Bossier Parish,Louisiana,126499,28766,21234,16.785903445877043
Caddo Parish,Louisiana,245831,26545,56184,22.854725400783465
Calcasieu Parish,Louisiana,201619,28778,34263,16.99393410343271
Caldwell Parish,Louisiana,9992,23216,2393,23.94915932746197
Cameron Parish,Louisiana,6930,28358,683,9.855699855699855
Catahoula Parish,Louisiana,9766,22412,1878,19.229981568707764
Claiborne Parish,Louisiana,15985,16770,4625,28.933375039099158
Concordia Parish,Louisiana,19778,19092,4436,22.428961472343005
De Soto Parish,Louisiana,27289,26767,5942,21.774341309685223
East Baton Rouge Parish,Louisiana,443763,32431,78365,17.659200969887078
East Carroll Parish,Louisiana,7096,19483,1972,27.79030439684329
East Feliciana Parish,Louisiana,19371,23612,2779,14.346187600020649
Evangeline Parish,Louisiana,33589,18770,9111,27.124951621066423
Franklin Parish,Louisiana,20238,19206,5511,27.230951675066706
Grant Parish,Louisiana,22340,18801,3595,16.092211280214862
Iberia Parish,Louisiana,71887,23290,15669,21.796708723413136
Iberville Parish,Louisiana,32822,23751,5381,16.394491499603923
Jackson Parish,Louisiana,15879,21594,3333,20.98998677498583
Jefferson Parish,Louisiana,434850,30374,66701,15.338852477865931
Jefferson Davis Parish,Louisiana,31441,25474,5897,18.755764765751724
Lafayette Parish,Louisiana,241973,31892,40979,16.935360556756333
Lafourche Parish,Louisiana,98108,28683,14899,15.18632527418763
LaSalle Parish,Louisiana,14936,21654,2704,18.103910016068557
Lincoln Parish,Louisiana,47246,22863,13350,28.256360326800152
Livingston Parish,Louisiana,138928,29354,17099,12.307814119543936
Madison Parish,Louisiana,11306,16671,3408,30.14328675039802
Morehouse Parish,Louisiana,25610,18494,7013,27.383834439672007
Natchitoches Parish,Louisiana,38769,19198,12235,31.558719595553146
Orleans Parish,Louisiana,390845,31385,89340,22.85816628075068
Ouachita Parish,Louisiana,155494,24361,36766,23.6446422369995
Plaquemines Parish,Louisiana,23338,29258,4188,17.94498243208501
Pointe Coupee Parish,Louisiana,22016,28180,4538,20.61228197674419
Rapides Parish,Louisiana,130970,25984,24858,18.97991906543483
Red River Parish,Louisiana,8565,22924,2106,24.588441330998247
Richland Parish,Louisiana,20350,20107,5926,29.120393120393118
Sabine Parish,Louisiana,23991,22687,4384,18.27351923638031
St. Bernard Parish,Louisiana,46266,20763,9681,20.924653092984048
St. Charles Parish,Louisiana,52773,32935,5854,11.092793663426374
St. Helena Parish,Louisiana,10297,24380,1861,18.07322521122657
St. James Parish,Louisiana,21308,26739,3597,16.880983668105877
St. John the Baptist Parish,Louisiana,43242,25968,7413,17.14305536284168
St. Landry Parish,Louisiana,83172,21162,21355,25.67570817101909
St. Martin Parish,Louisiana,53732,24997,9986,18.584828407652797
St. Mary Parish,Louisiana,50968,22839,9890,19.4043321299639
St. Tammany Parish,Louisiana,255155,34658,28957,11.34878799161294
Tangipahoa Parish,Louisiana,132057,25163,27511,20.832670740665016
Tensas Parish,Louisiana,4561,15912,1578,34.59767594825696
Terrebonne Parish,Louisiana,112054,25924,22720,20.275938386849198
Union Parish,Louisiana,22353,24030,3762,16.829955710642867
Vermilion Parish,Louisiana,59865,25342,10392,17.35905788023052
Vernon Parish,Louisiana,49646,24554,8166,16.448455061837812
Washington Parish,Louisiana,46435,20177,10840,23.34445999784645
Webster Parish,Louisiana,39242,18962,11416,29.091279751286887
West Baton Rouge Parish,Louisiana,26101,29697,3141,12.034021684992913
West Carroll Parish,Louisiana,11041,22439,2324,21.048818041844036
West Feliciana Parish,Louisiana,15428,26945,1447,9.379051075965776
Winn Parish,Louisiana,14313,22107,2318,16.19506742122546
Androscoggin County,Maine,107602,28956,12283,11.415215330570064
Aroostook County,Maine,67809,25477,10549,15.556931970682358
Cumberland County,Maine,292307,40527,25700,8.792126086614417
Franklin County,Maine,29982,27252,3308,11.033286638649857
Hancock County,Maine,54601,34361,5748,10.527279720151645
Kennebec County,Maine,121753,30685,15117,12.416121163338891
Knox County,Maine,39759,33126,3763,9.464523755627656
Lincoln County,Maine,34201,33595,4140,12.1049092131809
Oxford County,Maine,57550,25464,8592,14.929626411815814
Penobscot County,Maine,151774,28523,21501,14.166458023113313
Piscataquis County,Maine,16836,24074,3040,18.05654549774293
Sagadahoc County,Maine,35452,34675,3388,9.556583549588176
Somerset County,Maine,50520,24386,10114,20.019794140934284
Waldo County,Maine,39539,29674,5214,13.186979943852906
Washington County,Maine,31491,25157,5756,18.278238226794958
York County,Maine,204316,36093,14918,7.30143503200924
Allegany County,Maryland,71445,23607,10477,14.664427181748199
Anne Arundel County,Maryland,571275,46629,32087,5.616734497396175
Baltimore County,Maryland,828018,40105,73061,8.823600453130245
Calvert County,Maryland,91511,45783,4183,4.571035176099048
Caroline County,Maryland,33049,29624,4520,13.676661926230748
Carroll County,Maryland,167699,42083,8546,5.096035158229924
Cecil County,Maryland,102552,34810,9915,9.668265855370933
Charles County,Maryland,159428,41717,9953,6.2429435230950645
Dorchester County,Maryland,32138,30293,5007,15.579687597236916
Frederick County,Maryland,251422,43582,16865,6.707845773241801
Garrett County,Maryland,29235,30617,2963,10.135112023259792
Harford County,Maryland,252222,41147,17956,7.119125215088296
Howard County,Maryland,318855,54628,15805,4.956798544793087
Kent County,Maryland,19536,36813,2059,10.539516789516789
Montgomery County,Maryland,1043530,54510,70682,6.773355821107203
Prince George's County,Maryland,908670,37191,75341,8.29134889453817
Queen Anne's County,Maryland,49632,44754,2822,5.685847840103159
St. Mary's County,Maryland,112290,40354,8818,7.852880933297711
Somerset County,Maryland,25729,18772,4244,16.495005635664036
Talbot County,Maryland,37167,49136,3179,8.553286517609708
Washington County,Maryland,150109,30464,17302,11.526290895282761
Wicomico County,Maryland,102539,28080,15164,14.788519490145212
Worcester County,Maryland,51765,38080,4606,8.897903989181879
Baltimore city,Maryland,609032,31271,124436,20.431767132104717
Barnstable County,Massachusetts,213496,44505,13529,6.3368868737587585
Berkshire County,Massachusetts,126425,35616,13063,10.33260826577022
Bristol County,Massachusetts,561037,35747,61875,11.028684382669947
Dukes County,Massachusetts,17312,45990,1299,7.503465804066543
Essex County,Massachusetts,783676,42347,79463,10.139777152802944
Franklin County,Massachusetts,70577,35908,6730,9.535684429771738
Hampden County,Massachusetts,467871,30346,74362,15.893697194312107
Hampshire County,Massachusetts,161032,34838,16800,10.432709026777287
Middlesex County,Massachusetts,1600842,52228,114942,7.180096474230437
Nantucket County,Massachusetts,11168,55398,960,8.595988538681947
Norfolk County,Massachusetts,700437,53889,43145,6.159725999625948
Plymouth County,Massachusetts,515303,43412,37248,7.228368552094593
Suffolk County,Massachusetts,796605,42765,136934,17.189698784215516
Worcester County,Massachusetts,824772,37574,80612,9.773852652611874
Alcona County,Michigan,10353,25636,1738,16.787404617019224
Alger County,Michigan,9151,20851,905,9.889629548683205
Allegan County,Michigan,116143,29215,11890,10.237379781820687
Alpena County,Michigan,28520,25957,4002,14.032258064516128
Antrim County,Michigan,23206,31851,2527,10.889425148668447
Arenac County,Michigan,15070,24328,2547,16.901128069011282
Baraga County,Michigan,8421,22920,1067,12.6707041919012
Barry County,Michigan,60540,31760,4613,7.61975553353155
Bay County,Michigan,104104,27469,16266,15.624759855529085
Benzie County,Michigan,17615,29425,1650,9.367016747090547
Berrien County,Michigan,154133,30864,24305,15.768848981074788
Branch County,Michigan,43513,25279,6490,14.915082848803806
Calhoun County,Michigan,134212,26855,21423,15.962060024438948
Cass County,Michigan,51523,31295,6172,11.97911612289657
Charlevoix County,Michigan,26188,33620,2607,9.954941194440202
Cheboygan County,Michigan,25418,26393,3732,14.682508458572666
Chippewa County,Michigan,37629,25086,6257,16.628132557336098
Clare County,Michigan,30651,22573,6872,22.420149424162343
Clinton County,Michigan,78389,34761,6838,8.72316268864254
Crawford County,Michigan,13892,26294,2218,15.9660236107112
Delta County,Michigan,36026,27632,4588,12.735246766224392
Dickinson County,Michigan,25439,29656,2933,11.529541255552498
Eaton County,Michigan,109456,33427,10925,9.981179652097646
Emmet County,Michigan,33104,34074,2984,9.01401643305945
Genesee County,Michigan,407875,27295,76326,18.71308611707018
Gladwin County,Michigan,25279,25657,4215,16.673919063254083
Gogebic County,Michigan,15061,25555,2352,15.61649292875639
Grand Traverse County,Michigan,92181,35405,8703,9.441208058059686
Gratiot County,Michigan,40916,23616,5890,14.395346563691467
Hillsdale County,Michigan,45757,25621,7137,15.597613479904716
Houghton County,Michigan,36070,23421,6742,18.691433324092046
Huron County,Michigan,31349,27852,4030,12.855274490414367
Ingham County,Michigan,290587,29380,53303,18.343215629054292
Ionia County,Michigan,64300,24864,7129,11.087091757387247
Iosco County,Michigan,25197,25264,3774,14.977973568281937
Iron County,Michigan,11152,25944,1420,12.733142037302725
Isabella County,Michigan,70688,23888,16707,23.634846084200998
Jackson County,Michigan,158636,28364,20509,12.928339090748633
Kalamazoo County,Michigan,262745,31975,38054,14.483244210165749
Kalkaska County,Michigan,17585,24358,2905,16.519761160079614
Kent County,Michigan,648121,32524,74720,11.528711459742857
Keweenaw County,Michigan,2111,34608,223,10.563713879677877
Lake County,Michigan,11852,20461,2416,20.384745190685116
